Модификация,Год,Автомобильный бренд,ТИП КУЗОВА,Модель,Страна марки,Класс автомобиля,Тип кузова,Количество дверей,Количество мест,Ширина (с зеркалами),Ширина,Длина,Высота,Колесная база,Колея передняя,Колея задняя,Объем багажника минимальный,Объем багажника максимальный,Дорожный просвет,ДВИГАТЕЛЬ,Тип двигателя,Расположение двигателя,Объем двигателя,Мощность,При оборотах в минуту,Мощность (кВт),Крутящий момент,Система питания,Тип наддува,Газораспределительный механизм,Расположение цилиндров,Количество цилиндров,Количество клапанов на цилиндр,Диаметр цилиндра и ход поршня,Степень сжатия,Модель двигателя,"Выбросы CO2, г/км",Экологический стандарт,ПОДВЕСКА,Тип передней подвески,Тип задней подвески,ТРАНСМИССИЯ,Тип КПП,Кол-во передач,Передаточное отношение главной пары,Привод,ТОРМОЗНАЯ СИСТЕМА,Передние тормоза,Задние тормоза,ЭКСПЛУАТАЦИОННЫЕ ПОКАЗАТЕЛИ,Максимальная скорость,Время разгона (0-100 км/ч),Расход топлива в городе на 100 км,Расход топлива на шоссе на 100 км,Снаряженная масса автомобиля,Расход топлива средний на 100 км,Допустимая полная масса,Объем топливного бака,Размер шин,Колесные диски (Размер),Запас хода,Полная зарядка,РУЛЕВОЕ УПРАВЛЕНИЕ,Диаметр разворота,Тип рулевого управления
Toyota Hilux VI 2.7 AT (145 л.с.) Пикап Одинарная кабина 1997,1997,Toyota,,Hilux,,, Пикап Одинарная кабина, 2, 2, -, 1665 мм, 4690 мм, 1775 мм, 2850 мм, 1410 мм, 1420 мм, -, -, 195 мм,, Бензин," переднее, продольное", 2694 см³, 145 л.с., 4800, 107 кВт, 235 Нм, распределенный впрыск (многоточечный),, DOHC, рядное, 4, 4, 95x95 мм," 9,5", 3rz-fe,, -,," независимая, торсионная", зависимая (рессорная),, Автоматическая, 4, -, Полный привод,, дисковые вентилируемые, -,, -, -, -, -, -, -, -, 76 л., -, -, -, -,, -, -
Toyota Hilux VI 2.0 AT (110 л.с.) Пикап Двойная кабина 1997,1997,Toyota,,Hilux,,, Пикап Двойная кабина, 4, 5, -, 1790 мм, 4730 мм, 1795 мм, 2855 мм, 1485 мм, 1470 мм, -, -, 195 мм,, Бензин," переднее, поперечное", 1995 см³, 110 л.с., 5200, 81 кВт, 167 Нм, центральный впрыск (моновпрыск или одноточечный),, OHC, рядное, 4, 2, -, -, 1RZ-E,, -,," независимая, торсионная", зависимая (рессорная),, Автоматическая, 4, -, Полный привод,, дисковые вентилируемые, -,, -, -, -, -, -, -, -, 65 л., -, -, -, -,, -, -
Toyota Hilux VI 2.7 MT (145 л.с.) Пикап Одинарная кабина 1997,1997,Toyota,,Hilux,,, Пикап Одинарная кабина, 2, 2, -, 1665 мм, 4690 мм, 1775 мм, 2850 мм, 1410 мм, 1420 мм, -, -, 195 мм,, Бензин," переднее, продольное", 2694 см³, 145 л.с., 4800, 107 кВт, 235 Нм, распределенный впрыск (многоточечный),, DOHC, рядное, 4, 4, 95x95 мм," 9,5", 3rz-fe,, -,," независимая, торсионная", зависимая (рессорная),, Механическая, 5, -, Полный привод,, дисковые вентилируемые, -,, -, -, -, -, -, -, -, 76 л., -, -, -, -,, -, -
Toyota Hilux VI 2.0 MT (110 л.с.) Пикап Одинарная кабина 1997,1997,Toyota,,Hilux,,, Пикап Одинарная кабина, 2, 2, -, 1665 мм, 4690 мм, 1775 мм, 2850 мм, 1410 мм, 1420 мм, -, -, 195 мм,, Бензин," переднее, поперечное", 1995 см³, 110 л.с., 5200, 81 кВт, 167 Нм, центральный впрыск (моновпрыск или одноточечный),, OHC, рядное, 4, 2, -, -, 1RZ-E,, -,," независимая, торсионная", зависимая (рессорная),, Механическая, 5, -, Задний,, дисковые вентилируемые, -,, -, -, -, -, -, -, -, 76 л., -, -, -, -,, -, -
Toyota Hilux VI 2.0 AT (110 л.с.) Пикап Одинарная кабина 1997,1997,Toyota,,Hilux,,, Пикап Одинарная кабина, 2, 2, -, 1665 мм, 4690 мм, 1775 мм, 2850 мм, 1410 мм, 1420 мм, -, -, 195 мм,, Бензин," переднее, поперечное", 1995 см³, 110 л.с., 5200, 81 кВт, 167 Нм, центральный впрыск (моновпрыск или одноточечный),, OHC, рядное, 4, 2, -, -, 1RZ-E,, -,," независимая, торсионная", -,, Автоматическая, 4, -, Полный привод,, дисковые вентилируемые, -,, -, -, -, -, -, -, -, 76 л., -, -, -, -,, -, -
Toyota Hilux VI 2.0 AT (110 л.с.) Пикап Двойная кабина 1997,1997,Toyota,,Hilux,,, Пикап Двойная кабина, 4, 5, -, 1790 мм, 4730 мм, 1795 мм, 2855 мм, 1485 мм, 1470 мм, -, -, 195 мм,, Бензин," переднее, продольное", 1998 см³, 110 л.с., 5200, 81 кВт, 167 Нм, распределенный впрыск (многоточечный),, OHC, рядное, 4, 4, 86.0x86.0 мм, 9, 1RZ-E,, -,," независимая, торсионная", зависимая (рессорная),, Автоматическая, 4, -, Задний,, дисковые вентилируемые, барабанные,, -, -, -, -, 1370 кг, 10 л., -, 65 л., -, -, -, -,, -, -
Toyota Hilux VI 2.0 MT (110 л.с.) Пикап Одинарная кабина 1997,1997,Toyota,,Hilux,,, Пикап Одинарная кабина, 2, 2, -, 1665 мм, 4690 мм, 1775 мм, 2850 мм, 1410 мм, 1420 мм, -, -, 215 мм,, Бензин," переднее, поперечное", 1998 см³, 110 л.с., 5200, 81 кВт, 166 Нм, распределенный впрыск (многоточечный),, OHC, рядное, 4, 4, 86.0x86.0 мм, 9, 1RZ-E,, -,," независимая, торсионная", зависимая (рессорная),, Механическая, 5, -, Полный привод,, дисковые вентилируемые, барабанные,, -, -, -, -, 1600 кг," 10,5 л.", -, 76 л., -, -, -, -,, -, -
Toyota Hilux VI 2.0 AT (110 л.с.) Пикап Одинарная кабина 1997,1997,Toyota,,Hilux,,, Пикап Одинарная кабина, 2, 2, -, 1665 мм, 4690 мм, 1775 мм, 2850 мм, 1410 мм, 1420 мм, -, -, 195 мм,, Бензин," переднее, поперечное", 1995 см³, 110 л.с., 5200, 81 кВт, 167 Нм, центральный впрыск (моновпрыск или одноточечный),, OHC, рядное, 4, 2, -, -, 1RZ-E,, -,," независимая, торсионная", -,, Автоматическая, 4, -, Задний,, дисковые вентилируемые, -,, -, -, -, -, -, -, -, 76 л., -, -, -, -,, -, -
Toyota Hilux IV 2.4 MT (83 л.с.) Пикап Одинарная кабина 1983,1983,Toyota,,Hilux, Япония, J, Пикап Одинарная кабина, 2, 3, -, 1690 мм, 4435 мм, 1765 мм, 2605 мм, 1420 мм, 1400 мм, -, -, 220 мм,, Дизель," переднее, продольное", 2446 см³, 83 л.с., 4000, 61 кВт, 167 Нм, двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива), нет, -, рядное, 4, 2, 92 × 92 мм, 22.3, -,, -,, зависимая (рессорная), зависимая (рессорная),, механика, 5, -, Полный привод,, дисковые, барабанные,, -, -, -, -, 1410 кг, -, 2270 кг, 65 л., -, -, -, -,, -, -
Toyota Hilux IV 2.2 MT (72 л.с.) Пикап Одинарная кабина 1983,1983,Toyota,,Hilux, Япония, J, Пикап Одинарная кабина, 2, 3, -, 1690 мм, 4435 мм, 1765 мм, 2605 мм, 1420 мм, 1400 мм, -, -, 200 мм,, Дизель," переднее, продольное", 2188 см³, 72 л.с., 4200, 53 кВт, 142 Нм, двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива), нет, -, рядное, 4, 2, 90 × 86 мм, 21.5, -,, -,, зависимая (рессорная), зависимая (рессорная),, механика, 5, -, Задний,, дисковые, барабанные,, -, -, -, -, 1180 кг, -, 2345 кг, 65 л., -, -, -, -,, -, -
Toyota Hilux IV 1.8 MT (95 л.с.) Пикап Одинарная кабина 1983,1983,Toyota,,Hilux, Япония, J, Пикап Одинарная кабина, 2, 3, -, 1690 мм, 4435 мм, 1765 мм, 2605 мм, 1420 мм, 1400 мм, -, -, 200 мм,, Бензин," переднее, продольное", 1812 см³, 95 л.с., 5200, 70 кВт, 152 Нм, карбюратор, нет, -, рядное, 4, 2, 86 × 78 мм, 8.8, -,, -,, зависимая (рессорная), зависимая (рессорная),, механика, 4, -, Задний,, дисковые, барабанные,, -, -, -, -, 1115 кг, -, 2280 кг, 65 л., -, -, -, -,, -, -
Toyota Hilux IV 2.0 MT (105 л.с.) Пикап Одинарная кабина 1983,1983,Toyota,,Hilux, Япония, J, Пикап Одинарная кабина, 2, 3, -, 1690 мм, 4435 мм, 1765 мм, 2605 мм, 1420 мм, 1400 мм, -, -, 220 мм,, Бензин," переднее, продольное", 1998 см³, 105 л.с., 5200, 77 кВт, 167 Нм, карбюратор, нет, -, рядное, 4, 2, 86 × 86 мм, 8.8, -,, -,, зависимая (рессорная), зависимая (рессорная),, механика, 5, -, Полный привод,, дисковые, барабанные,, -, -, -, -, 1320 кг, -, 2180 кг, 65 л., -, -, -, -,, -, -
Toyota Hilux III 2.2 MT (63 л.с.) Пикап Двойная кабина 1978,1978,Toyota,,Hilux, Япония, J, Пикап Двойная кабина, 4, 5, -, 1610 мм, 4690 мм, 1565 мм, 2800 мм, 1340 мм, 1350 мм, -, -, 200 мм,, Дизель," переднее, продольное", 2188 см³, 63 л.с., 4200, 46 кВт, 126 Нм, двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива), нет, -, рядное, 4, 2, -, -, -,, -,, зависимая (рессорная), зависимая (рессорная),, механика, 4, -, Задний,, дисковые, барабанные,, -, -, -, -, -, -, -, 52 л., -, -, -, -,, -, -
Toyota Hilux IV 1.6 MT (80 л.с.) Пикап Одинарная кабина 1983,1983,Toyota,,Hilux, Япония, J, Пикап Одинарная кабина, 2, 3, -, 1690 мм, 4435 мм, 1765 мм, 2605 мм, 1420 мм, 1400 мм, -, -, 200 мм,, Бензин," переднее, продольное", 1587 см³, 80 л.с., 5200, 59 кВт, 123 Нм, карбюратор, нет, -, рядное, 4, 2, 80.5 × 78 мм, 8.5, -,, -,, зависимая (рессорная), зависимая (рессорная),, механика, 4, -, Задний,, дисковые, барабанные,, -, -, -, -, 1070 кг, -, 2235 кг, 65 л., -, -, -, -,, -, -
Toyota Hilux III 2.2 MT (63 л.с.) Пикап Двойная кабина 1978,1978,Toyota,,Hilux, Япония, J, Пикап Двойная кабина, 4, 5, -, 1610 мм, 4690 мм, 1565 мм, 2800 мм, 1340 мм, 1350 мм, -, -, 220 мм,, Дизель," переднее, продольное", 2188 см³, 63 л.с., 4200, 46 кВт, 126 Нм, двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива), нет, -, рядное, 4, 2, -, -, -,, -,, зависимая (рессорная), зависимая (рессорная),, механика, 5, -, Полный привод,, дисковые, барабанные,, -, -, -, -, -, -, -, 52 л., -, -, -, -,, -, -
Toyota Hilux III 2.4 MT (98 л.с.) Пикап Двойная кабина 1978,1978,Toyota,,Hilux, Япония, J, Пикап Двойная кабина, 4, 5, -, 1610 мм, 4690 мм, 1565 мм, 2800 мм, 1340 мм, 1350 мм, -, -, 200 мм,, Бензин," переднее, продольное", 2366 см³, 98 л.с., 4800, 72 кВт, 175 Нм, карбюратор, нет, -, рядное, 4, 2, 91.9 × 88.9 мм, -, -,, -,, зависимая (рессорная), зависимая (рессорная),, механика, 4, -, Задний,, дисковые, барабанные,, -, -, -, -, -, -, -, 52 л., -, -, -, -,, -, -
Toyota Hilux III 2.4 MT (98 л.с.) Пикап Двойная кабина 1978,1978,Toyota,,Hilux, Япония, J, Пикап Двойная кабина, 4, 5, -, 1610 мм, 4690 мм, 1565 мм, 2800 мм, 1340 мм, 1350 мм, -, -, 200 мм,, Бензин," переднее, продольное", 2366 см³, 98 л.с., 4800, 72 кВт, 175 Нм, карбюратор, нет, -, рядное, 4, 2, 91.9 × 88.9 мм, -, -,, -,, зависимая (рессорная), зависимая (рессорная),, механика, 5, -, Полный привод,, дисковые, барабанные,, -, -, -, -, -, -, -, 52 л., -, -, -, -,, -, -
Toyota Hilux III 2.2 MT (91 л.с.) Пикап Двойная кабина 1978,1978,Toyota,,Hilux, Япония, J, Пикап Двойная кабина, 4, 5, -, 1610 мм, 4690 мм, 1565 мм, 2800 мм, 1340 мм, 1350 мм, -, -, 200 мм,, Бензин," переднее, продольное", 2189 см³, 91 л.с., 4800, 67 кВт, 165 Нм, карбюратор, нет, -, рядное, 4, 2, 88.4 × 88.9 мм, 8.5, -,, -,, зависимая (рессорная), зависимая (рессорная),, механика, 4, -, Задний,, дисковые, барабанные,, -, -, -, -, -, -, -, 52 л., -, -, -, -,, -, -
Toyota Hilux III 2.2 MT (91 л.с.) Пикап Двойная кабина 1978,1978,Toyota,,Hilux, Япония, J, Пикап Двойная кабина, 4, 5, -, 1610 мм, 4690 мм, 1565 мм, 2800 мм, 1340 мм, 1350 мм, -, -, 220 мм,, Бензин," переднее, продольное", 2189 см³, 91 л.с., 4800, 67 кВт, 165 Нм, карбюратор, нет, -, рядное, 4, 2, 88.4 × 88.9 мм, 8.5, -,, -,, зависимая (рессорная), зависимая (рессорная),, механика, 5, -, Полный привод,, дисковые, барабанные,, -, -, -, -, -, -, -, 52 л., -, -, -, -,, -, -
Toyota Hilux III 2.0 MT (105 л.с.) Пикап Двойная кабина 1978,1978,Toyota,,Hilux, Япония, J, Пикап Двойная кабина, 4, 5, -, 1610 мм, 4690 мм, 1565 мм, 2800 мм, 1340 мм, 1350 мм, -, -, 200 мм,, Бензин," переднее, продольное", 1968 см³, 105 л.с., 5500, 78 кВт, 145 Нм, карбюратор, нет, -, рядное, 4, 2, 88.5 × 80 мм, 8.5, -,, -,, зависимая (рессорная), зависимая (рессорная),, механика, 4, -, Задний,, дисковые, барабанные,, -, -, -, -, -, -, -, 52 л., -, -, -, -,, -, -
Toyota Hilux III 2.0 MT (105 л.с.) Пикап Двойная кабина 1978,1978,Toyota,,Hilux, Япония, J, Пикап Двойная кабина, 4, 5, -, 1610 мм, 4690 мм, 1565 мм, 2800 мм, 1340 мм, 1350 мм, -, -, 220 мм,, Бензин," переднее, продольное", 1968 см³, 105 л.с., 5500, 78 кВт, 145 Нм, карбюратор, нет, -, рядное, 4, 2, 88.5 × 80 мм, 8.5, -,, -,, зависимая (рессорная), зависимая (рессорная),, механика, 5, -, Полный привод,, дисковые, барабанные,, -, -, -, -, -, -, -, 52 л., -, -, -, -,, -, -
Toyota Hilux III 2.2 MT (63 л.с.) Пикап Одинарная кабина 1978,1978,Toyota,,Hilux, Япония, J, Пикап Одинарная кабина, 2, 3, -, 1610 мм, 4300 мм, 1565 мм, 2585 мм, 1340 мм, 1350 мм, -, -, 200 мм,, Дизель," переднее, продольное", 2188 см³, 63 л.с., 4200, 46 кВт, 126 Нм, двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива), нет, -, рядное, 4, 2, -, -, -,, -,, зависимая (рессорная), зависимая (рессорная),, механика, 4, -, Задний,, дисковые, барабанные,, -, -, -, -, -, -, -, 52 л., -, -, -, -,, -, -
Toyota Hilux III 1.6 MT (80 л.с.) Пикап Двойная кабина 1978,1978,Toyota,,Hilux, Япония, J, Пикап Двойная кабина, 4, 5, -, 1610 мм, 4690 мм, 1565 мм, 2800 мм, 1340 мм, 1350 мм, -, -, 200 мм,, Бензин," переднее, продольное", 1587 см³, 80 л.с., 5200, 59 кВт, 123 Нм, карбюратор, нет, -, рядное, 4, 2, 80.5 × 78 мм, 8.5, -,, -,, зависимая (рессорная), зависимая (рессорная),, механика, 4, -, Задний,, дисковые, барабанные,, -, -, -, -, 1055 кг, -, 2220 кг, 52 л., -, -, -, -,, -, -
Toyota Hilux III 2.4 MT (98 л.с.) Пикап Одинарная кабина 1978,1978,Toyota,,Hilux, Япония, J, Пикап Одинарная кабина, 2, 3, -, 1610 мм, 4300 мм, 1565 мм, 2585 мм, 1340 мм, 1350 мм, -, -, 200 мм,, Бензин," переднее, продольное", 2366 см³, 98 л.с., 4800, 72 кВт, 175 Нм, карбюратор, нет, -, рядное, 4, 2, 91.9 × 88.9 мм, -, -,, -,, зависимая (рессорная), зависимая (рессорная),, механика, 4, -, Задний,, дисковые, барабанные,, -, -, -, -, -, -, -, 52 л., -, -, -, -,, -, -
Toyota Hilux III 2.2 MT (63 л.с.) Пикап Одинарная кабина 1978,1978,Toyota,,Hilux, Япония, J, Пикап Одинарная кабина, 2, 3, -, 1610 мм, 4300 мм, 1565 мм, 2585 мм, 1340 мм, 1350 мм, -, -, 220 мм,, Дизель," переднее, продольное", 2188 см³, 63 л.с., 4200, 46 кВт, 126 Нм, двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива), нет, -, рядное, 4, 2, -, -, -,, -,, зависимая (рессорная), зависимая (рессорная),, механика, 5, -, Полный привод,, дисковые, барабанные,, -, -, -, -, -, -, -, 52 л., -, -, -, -,, -, -
Toyota Hilux III 2.2 MT (91 л.с.) Пикап Одинарная кабина 1978,1978,Toyota,,Hilux, Япония, J, Пикап Одинарная кабина, 2, 3, -, 1610 мм, 4300 мм, 1565 мм, 2585 мм, 1340 мм, 1350 мм, -, -, 220 мм,, Бензин," переднее, продольное", 2189 см³, 91 л.с., 4800, 67 кВт, 165 Нм, карбюратор, нет, -, рядное, 4, 2, 88.4 × 88.9 мм, 8.5, -,, -,, зависимая (рессорная), зависимая (рессорная),, механика, 5, -, Полный привод,, дисковые, барабанные,, -, -, -, -, -, -, -, 52 л., -, -, -, -,, -, -
Toyota Hilux III 2.4 MT (98 л.с.) Пикап Одинарная кабина 1978,1978,Toyota,,Hilux, Япония, J, Пикап Одинарная кабина, 2, 3, -, 1610 мм, 4300 мм, 1565 мм, 2585 мм, 1340 мм, 1350 мм, -, -, 200 мм,, Бензин," переднее, продольное", 2366 см³, 98 л.с., 4800, 72 кВт, 175 Нм, карбюратор, нет, -, рядное, 4, 2, 91.9 × 88.9 мм, -, -,, -,, зависимая (рессорная), зависимая (рессорная),, механика, 5, -, Полный привод,, дисковые, барабанные,, -, -, -, -, -, -, -, 52 л., -, -, -, -,, -, -
Toyota Hilux III 2.2 MT (91 л.с.) Пикап Одинарная кабина 1978,1978,Toyota,,Hilux, Япония, J, Пикап Одинарная кабина, 2, 3, -, 1610 мм, 4300 мм, 1565 мм, 2585 мм, 1340 мм, 1350 мм, -, -, 200 мм,, Бензин," переднее, продольное", 2189 см³, 91 л.с., 4800, 67 кВт, 165 Нм, карбюратор, нет, -, рядное, 4, 2, 88.4 × 88.9 мм, 8.5, -,, -,, зависимая (рессорная), зависимая (рессорная),, механика, 4, -, Задний,, дисковые, барабанные,, -, -, -, -, -, -, -, 52 л., -, -, -, -,, -, -
Toyota Hilux III 2.0 MT (105 л.с.) Пикап Одинарная кабина 1978,1978,Toyota,,Hilux, Япония, J, Пикап Одинарная кабина, 2, 3, -, 1610 мм, 4300 мм, 1565 мм, 2585 мм, 1340 мм, 1350 мм, -, -, 220 мм,, Бензин," переднее, продольное", 1968 см³, 105 л.с., 5500, 78 кВт, 145 Нм, карбюратор, нет, -, рядное, 4, 2, 88.5 × 80 мм, 8.5, -,, -,, зависимая (рессорная), зависимая (рессорная),, механика, 5, -, Полный привод,, дисковые, барабанные,, -, -, -, -, -, -, -, 52 л., -, -, -, -,, -, -
Toyota Hilux III 2.0 MT (105 л.с.) Пикап Одинарная кабина 1978,1978,Toyota,,Hilux, Япония, J, Пикап Одинарная кабина, 2, 3, -, 1610 мм, 4300 мм, 1565 мм, 2585 мм, 1340 мм, 1350 мм, -, -, 200 мм,, Бензин," переднее, продольное", 1968 см³, 105 л.с., 5500, 78 кВт, 145 Нм, карбюратор, нет, -, рядное, 4, 2, 88.5 × 80 мм, 8.5, -,, -,, зависимая (рессорная), зависимая (рессорная),, механика, 4, -, Задний,, дисковые, барабанные,, -, -, -, -, -, -, -, 52 л., -, -, -, -,, -, -
Toyota Hilux IV 1.8 MT (95 л.с.) Пикап Двойная кабина 1983,1983,Toyota,,Hilux, Япония, J, Пикап Двойная кабина, 4, 5, -, 1690 мм, 4690 мм, 1805 мм, 2840 мм, 1420 мм, 1400 мм, -, -, 200 мм,, Бензин," переднее, продольное", 1812 см³, 95 л.с., 5200, 70 кВт, 152 Нм, карбюратор, нет, -, рядное, 4, 2, 86 × 78 мм, 8.8, -,, -,, зависимая (рессорная), зависимая (рессорная),, механика, 4, -, Задний,, дисковые, барабанные,, -, -, -, -, 1160 кг, -, 2240 кг, 65 л., -, -, -, -,, -, -
Toyota Hilux III 1.6 MT (80 л.с.) Пикап Одинарная кабина 1978,1978,Toyota,,Hilux, Япония, J, Пикап Одинарная кабина, 2, 3, -, 1610 мм, 4300 мм, 1565 мм, 2585 мм, 1340 мм, 1350 мм, -, -, 200 мм,, Бензин," переднее, продольное", 1587 см³, 80 л.с., 5200, 59 кВт, 123 Нм, карбюратор, нет, -, рядное, 4, 2, 80.5 × 78 мм, 8.5, -,, -,, зависимая (рессорная), зависимая (рессорная),, механика, 4, -, Задний,, дисковые, барабанные,, -, -, -, -, 1055 кг, -, 2220 кг, 52 л., -, -, -, -,, -, -
Toyota Hilux IV 2.4 MT (83 л.с.) Пикап Двойная кабина 1983,1983,Toyota,,Hilux, Япония, J, Пикап Двойная кабина, 4, 5, -, 1690 мм, 4690 мм, 1805 мм, 2840 мм, 1420 мм, 1400 мм, -, -, 220 мм,, Дизель," переднее, продольное", 2446 см³, 83 л.с., 4000, 61 кВт, 167 Нм, двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива), нет, -, рядное, 4, 2, 92 × 92 мм, 22.3, -,, -,, зависимая (рессорная), зависимая (рессорная),, механика, 5, -, Полный привод,, дисковые, барабанные,, -, -, -, -, 1480 кг, -, 2255 кг, 65 л., -, -, -, -,, -, -
Toyota Hilux V 2.4 MT (82 л.с.) Пикап Одинарная кабина 1988,1988,Toyota,,Hilux, Япония, J, Пикап Одинарная кабина, 2, 2, -, 1690 мм, 4435 мм, 1750 мм, 2616 мм, 1430 мм, 1410 мм, - л., - л., 205 мм,, Дизель," переднее, продольное", 2429 см³, 82 л.с., 4200, 60 кВт, 167 Нм, -, нет, -, рядное, 4, 2, 92 × 92 мм, 22.2, -,, -,," независимая, рессорная", -,, механика, 5, -, Полный привод,, дисковые, барабанные,, -, -, -, -, -, -, -, 65 л., -, -, -, -,, -, -
Toyota Hilux V 2.8d MT (91 л.с.) Пикап Одинарная кабина 1988,1988,Toyota,,Hilux,,, Пикап Одинарная кабина, 2, 2, -, 1690 мм, 4435 мм, 1750 мм, 2616 мм, 1430 мм, 1410 мм, -, -, 205 мм,, Дизель," переднее, поперечное", 2779 см³, 91 л.с., 4000, 67 кВт, 188 Нм, распределенный впрыск (многоточечный),, OHC, рядное, 4, 4, 96.0x96.0 мм," 22,2", 3l,, -,," независимая, рессорная", зависимая (рессорная),, Механическая, 5, -, Полный привод,, дисковые, барабанные,, -, -, -, -, 1530 кг, -, -, 65 л., -, -, -, -,, -, -
Toyota Hilux V 2.8d AT (91 л.с.) Пикап Одинарная кабина 1988,1988,Toyota,,Hilux,,, Пикап Одинарная кабина, 2, 2, -, 1690 мм, 4435 мм, 1750 мм, 2616 мм, 1430 мм, 1410 мм, -, -, 205 мм,, Дизель, -, 2779 см³, 91 л.с., 4000, 67 кВт, 188 Нм, двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива),, OHC, рядное, 4, 2, 96x96 мм, 22, 3l,, -,," независимая, рессорная", зависимая (рессорная),, Автоматическая, 4, -, Полный привод,, дисковые, барабанные,, -, -, -, -, -, -, -, 65 л., -, -, -, -,, -, -
Toyota Hilux V 2.0 MT (88 л.с.) Пикап Одинарная кабина 1988,1988,Toyota,,Hilux,,, Пикап Одинарная кабина, 2, 2, -, 1690 мм, 4435 мм, 1750 мм, 2616 мм, 1430 мм, 1410 мм, -, -, 205 мм,, Бензин," переднее, продольное", 1998 см³, 88 л.с., 4800, 65 кВт, 155 Нм, -,, -, V-образное, 4, -, 86x86 мм, 8, 3y,, -,," независимая, рессорная", -,, Механическая, 5, -, Полный привод,, дисковые, барабанные,, -, -, -, -, -, -, -, 65 л., -, -, -, -,, -, -
Toyota Hilux V 2.5d MT (97 л.с.) Пикап Половина кабины 1988,1988,Toyota,,Hilux,,, Пикап полторы кабины, 2, 5, -, 1690 мм, 4435 мм, 1750 мм, 2605 мм, 1430 мм, 1410 мм, -, -, 205 мм,, Дизель," переднее, продольное", 2446 см³, 97 л.с., 3800, 71 кВт, 221 Нм, двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива),, DOHC, рядное, 4, 2, 92x92 мм, 21, -,, -,," независимая, рессорная", зависимая (рессорная),, Механическая, 5, -, Полный привод,, дисковые, барабанные,, -, -, -, -, -, -, -, 65 л., -, -, -, -,, -, -
Toyota Hilux II 2.2 MT (98 л.с.) Пикап Одинарная кабина 1972,1972,Toyota,,Hilux, Япония, J, Пикап Одинарная кабина, 2, 3, -, 1580 мм, 4275 мм, 1580 мм, 2580 мм, 1290 мм, 1290 мм, -, -, 200 мм,, Бензин," переднее, продольное", 2189 см³, 98 л.с., 4800, 72 кВт, 162 Нм, карбюратор, нет, -, рядное, 4, 2, 88.4 × 88.9 мм, -, -,, -,," независимая, пружинная", зависимая (рессорная),, механика, 4, -, Задний,, дисковые, барабанные,, -, -, -, -, -, -, -, 52 л., -, -, -, -,, -, -
Toyota Hilux II 1.6 MT (80 л.с.) Пикап Одинарная кабина 1972,1972,Toyota,,Hilux, Япония, J, Пикап Одинарная кабина, 2, 3, -, 1580 мм, 4275 мм, 1580 мм, 2580 мм, 1290 мм, 1290 мм, -, -, 190 мм,, Бензин," переднее, продольное", 1587 см³, 80 л.с., 5200, 59 кВт, 123 Нм, карбюратор, нет, -, рядное, 4, 2, 80.5 × 78 мм, 8.5, -,, -,," независимая, пружинная", зависимая (рессорная),, механика, 4, -, Задний,, дисковые, барабанные,, 135 км/ч, -, -, -, 1090 кг, -, 2255 кг, 52 л., -, -, -, -,, -, -
Toyota Hilux V 2.0 MT (88 л.с.) Пикап Половина кабины 1988,1988,Toyota,,Hilux,,, Пикап полторы кабины, 2, 5, -, 1690 мм, 4435 мм, 1750 мм, 2605 мм, 1430 мм, 1410 мм, -, -, 205 мм,, Бензин," переднее, поперечное", 1998 см³, 88 л.с., 4800, 65 кВт, 154 Нм, карбюратор,, -, рядное, 4, 4, 86.0x86.0 мм," 8,8", 3y,, -,," независимая, рессорная", зависимая (рессорная),, Механическая, 5, -, Полный привод,, дисковые, барабанные,, -, -, -, -, 1410 кг, -, -, 65 л., -, -, -, -,, -, -
Toyota Hilux V 2.5d AT (97 л.с.) Пикап Половина кабины 1988,1988,Toyota,,Hilux,,, Пикап полторы кабины, 2, 5, -, 1690 мм, 4435 мм, 1750 мм, 2605 мм, 1430 мм, 1410 мм, -, -, 205 мм,, Дизель," переднее, продольное", 2446 см³, 97 л.с., 3800, 71 кВт, 221 Нм, двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива),, DOHC, рядное, 4, 2, 92x92 мм, 21, -,, -,," независимая, рессорная", зависимая (рессорная),, Автоматическая, 4, -, Полный привод,, дисковые, барабанные,, -, -, -, -, -, -, -, 65 л., -, -, -, -,, -, -
Toyota Hilux II 2.0 MT (105 л.с.) Пикап Одинарная кабина 1972,1972,Toyota,,Hilux, Япония, J, Пикап Одинарная кабина, 2, 3, -, 1580 мм, 4275 мм, 1580 мм, 2580 мм, 1290 мм, 1290 мм, -, -, 200 мм,, Бензин," переднее, продольное", 1968 см³, 105 л.с., 5500, 78 кВт, 157 Нм, карбюратор, нет, -, рядное, 4, 2, 88.5 × 80 мм, 8.5, -,, -,," независимая, пружинная", зависимая (рессорная),, механика, 4, -, Задний,, дисковые, барабанные,, 150 км/ч, -, -, -, 1110 кг, -, 2275 кг, 52 л., -, -, -, -,, -, -
